"Jahr","Alter","Geschlecht","qx"
1949,68,"M",0.046646
1949,69,"M",0.049847
1949,70,"M",0.051884
1949,71,"M",0.057766
1949,72,"M",0.064288
1949,73,"M",0.071615
1949,74,"M",0.077128
1949,75,"M",0.083131
1949,76,"M",0.090415
1949,77,"M",0.096834
1949,78,"M",0.105805
1949,79,"M",0.120857
1949,80,"M",0.127892
1949,81,"M",0.136801
1949,82,"M",0.159345
1949,83,"M",0.160179
1949,84,"M",0.176135
1949,85,"M",0.197383
1949,86,"M",0.208098
1949,87,"M",0.232334
1949,88,"M",0.276274
1949,89,"M",0.245796
1949,90,"M",0.308271
1949,91,"M",0.29108
1949,92,"M",0.288288
1949,93,"M",0.307116
1949,94,"M",0.34965
1949,95,"M",0.322097
1949,0,"F",0.066393
1949,1,"F",0.006447
1949,2,"F",0.003246
1949,3,"F",0.002362
1949,4,"F",0.001671
1949,5,"F",0.00141
1949,6,"F",0.001285
1949,7,"F",0.000824
1949,8,"F",0.000719
1949,9,"F",0.000602
1949,10,"F",0.000671
1949,11,"F",0.00074
1949,12,"F",0.000699
1949,13,"F",0.000739
1949,14,"F",0.000704
1949,15,"F",0.000964
1949,16,"F",0.000957
1949,17,"F",0.001127
1949,18,"F",0.001175
1949,19,"F",0.00163
1949,20,"F",0.001604
1949,21,"F",0.001781
1949,22,"F",0.001833
1949,23,"F",0.00136
1949,24,"F",0.001737
1949,25,"F",0.001766
1949,26,"F",0.001765
1949,27,"F",0.002006
1949,28,"F",0.001791
1949,29,"F",0.002302
1949,30,"F",0.002187
1949,31,"F",0.002044
1949,32,"F",0.001864
1949,33,"F",0.001961
1949,34,"F",0.001985
1949,35,"F",0.002702
1949,36,"F",0.002689
1949,37,"F",0.002834
1949,38,"F",0.003237
1949,39,"F",0.002931
1949,40,"F",0.003391
1949,41,"F",0.003388
1949,42,"F",0.004064
1949,43,"F",0.003541
1949,44,"F",0.004141
1949,45,"F",0.004725
1949,46,"F",0.004913
1949,47,"F",0.004826
1949,48,"F",0.006007
1949,49,"F",0.006321
1949,50,"F",0.005778
1949,51,"F",0.006639
1949,52,"F",0.007795
1949,53,"F",0.008215
1949,54,"F",0.008267
1949,55,"F",0.009406
1949,56,"F",0.010315
1949,57,"F",0.010587
1949,58,"F",0.012617
1949,59,"F",0.013136
1949,60,"F",0.013827
1949,61,"F",0.015853
1949,62,"F",0.018007
1949,63,"F",0.019904
1949,64,"F",0.022041
1949,65,"F",0.02414
1949,66,"F",0.0273
1949,67,"F",0.030243
1949,68,"F",0.031303
1949,69,"F",0.037893
1949,70,"F",0.040596
1949,71,"F",0.046414
1949,72,"F",0.051006
1949,73,"F",0.059252
1949,74,"F",0.061357
1949,75,"F",0.070406
1949,76,"F",0.076805
1949,77,"F",0.083754
1949,78,"F",0.097048
1949,79,"F",0.112148
1949,80,"F",0.115339
1949,81,"F",0.128609
1949,82,"F",0.15487
1949,83,"F",0.151053
1949,84,"F",0.166905
1949,85,"F",0.180219
1949,86,"F",0.205911
1949,87,"F",0.18573
1949,88,"F",0.237476
1949,89,"F",0.223755
1949,90,"F",0.276513
1949,91,"F",0.279828
1949,92,"F",0.28033
1949,93,"F",0.328257
1949,94,"F",0.317848
1949,95,"F",0.362694
1950,0,"M",0.073842
1950,1,"M",0.005355
1950,2,"M",0.002846
1950,3,"M",0.001965
1950,4,"M",0.001836
1950,5,"M",0.001048
1950,6,"M",0.001464
1950,7,"M",0.000723
1950,8,"M",0.000747
1950,9,"M",0.000682
